input,sector,region,value
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,18716.15557
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Basic Pharmaceuticals and Their Products (Section CF),EU,494.4169741
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,10125.43672
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,193095.1216
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Computer, Electronic and Optical Products (Section CI)",EU,2135.197302
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Electrical Equipment (Section CJ),EU,4689.837272
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Machinery and Equipment N.E.C. (Section CK),EU,10039.52238
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Transport Equipment (Section CL),EU,3693.870049
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,7761.443521
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Utilities (Section D,E)",EU,44262.5662
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Construction (Section F),EU,5513.296522
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Wholesale, Retail and Repairs (Section G)",EU,35519.97854
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Transportation and Storage (Section H),EU,18086.5405
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Accommodation and Food Services (Section I),EU,1638.734051
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Information and Communication (Section J),EU,4889.86987
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Financial and Insurance (Section K),EU,7854.070326
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Real Estate Activities (Section L),EU,5170.350934
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Professional, Scientific & Technical (Section M)",EU,15420.51423
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Administrative and Support Services (Section N),EU,12852.53011
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Public administration and defence; compulsory social security (Section O),EU,3626.396769
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Education (Section P),EU,679.7347634
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Other Services (Section (Q-U),EU,1651.239025
"Computer, Electronic and Optical Products (Section CI)","Agriculture, Forestry and Fishing (Section A)",EU,89.26257421
"Computer, Electronic and Optical Products (Section CI)",Mining & Quarrying (Section B),EU,228.0413165
"Computer, Electronic and Optical Products (Section CI)","Food Products, Beverages and Tobacco Products (Section CA)",EU,454.768836
"Computer, Electronic and Optical Products (Section CI)","Textiles, Wearing Apparel and Leather (Section CB)",EU,320.1587388
"Computer, Electronic and Optical Products (Section CI)","Wood and Paper Products, and Printing (Section CC)",EU,1252.077953
"Computer, Electronic and Optical Products (Section CI)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,2988.657196
"Computer, Electronic and Optical Products (Section CI)",Basic Pharmaceuticals and Their Products (Section CF),EU,321.6426592
"Computer, Electronic and Optical Products (Section CI)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,3936.759461
"Computer, Electronic and Optical Products (Section CI)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,6676.592243
"Computer, Electronic and Optical Products (Section CI)","Computer, Electronic and Optical Products (Section CI)",EU,42648.41168
"Computer, Electronic and Optical Products (Section CI)",Electrical Equipment (Section CJ),EU,6227.347787
"Computer, Electronic and Optical Products (Section CI)",Machinery and Equipment N.E.C. (Section CK),EU,3017.775587
"Computer, Electronic and Optical Products (Section CI)",Transport Equipment (Section CL),EU,1637.207315
"Computer, Electronic and Optical Products (Section CI)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,2192.469828
"Computer, Electronic and Optical Products (Section CI)","Utilities (Section D,E)",EU,1897.605716
